-2.1128324,5.3214361,3.5158983
-2.3072658,5.3249305,3.7921452
-2.5029848,5.3133333,4.0475933
-2.6994434,5.2849050,4.2717141
-2.8967782,5.2361260,4.3913799
-3.0821651,5.1701921,4.4847605
-3.2712841,5.0806514,4.5593553
-3.4378780,4.9796729,4.5981374
-3.5982304,4.8587480,4.6328989
-3.7461750,4.7201684,4.6442360
-3.8750450,4.5698338,4.6331692
-3.9882072,4.4043104,4.6268685
-4.0823102,4.2271588,4.6137306
-4.1554550,4.0426879,4.6017061
-4.2090124,3.8496118,4.6121435
-4.2421423,3.6517054,4.6327857
-4.2551579,3.4530051,4.6656777
-4.2494616,3.2528752,4.7232153
-4.2258185,3.0533714,4.7911885
-4.1851743,2.8561799,4.8648157
-4.1294923,2.6643634,4.9542596
-4.0597152,2.4775300,5.0470415
-3.9740357,2.2909787,5.1358015
-3.8789314,2.1170012,5.2278835
-3.7717189,1.9489104,5.3113559
-3.6497592,1.7831876,5.3887258
-3.5281987,1.6365621,5.4965960
-3.3899022,1.4846752,5.6497484
-3.2552228,1.3453861,5.8122073
-3.1176132,1.2042535,5.9689974
-2.9777470,1.0605686,6.1205640
-2.8418446,0.9223216,6.2672956
-2.6962243,0.7788873,6.4095334
-2.5543635,0.6460863,6.5475792
-2.4026621,0.5130504,6.6709664
-2.2469845,0.3867437,6.7480407
-2.0888277,0.2688521,6.7973960
-1.9191612,0.1535478,6.7773369
-1.7516351,0.0504977,6.7031482
-1.5772819,-0.0460268,6.6289728
-1.3939635,-0.1363455,6.5567848
-1.2133187,-0.2146484,6.4841003
-1.0266826,-0.2849305,6.4072719
-0.8336426,-0.3467071,6.3279577
-0.6417145,-0.3974192,6.2480587
-0.4468033,-0.4382901,6.1629990
-0.2479050,-0.4691636,6.0727815
-0.0489876,-0.4891566,5.9789270
0.1496382,-0.4982696,5.8792131
0.3499926,-0.4964204,5.7714773
0.5505111,-0.4832648,5.6559014
0.7475716,-0.4590283,5.5313095
0.9441344,-0.4233588,5.3921713
1.1394117,-0.3760634,5.2374754
1.3313146,-0.3173496,5.0640469
1.5189824,-0.2468513,4.8868171
1.7006921,-0.1641612,4.7142531
1.8760354,-0.0679483,4.5519756
2.0447294,0.0440602,4.4091334
2.1996249,0.1696496,4.2992328
2.3379944,0.3087978,4.2384361
2.4632672,0.4694264,4.1859542
2.5667452,0.6414607,4.1013696
2.6474545,0.8200253,3.9840142
2.7107600,1.0230512,3.8613960
2.7476006,1.2236934,3.6665039
2.7589582,1.4087326,3.5541023
2.7373617,1.6335924,3.5372170
2.7247533,1.7914191,3.2526621
2.7307094,1.9646642,3.2397075
2.6843880,2.1941632,3.2267008
2.6063996,2.3671295,3.2314738
2.4947224,2.5392349,3.4699112
2.3571636,2.6940250,3.3328009
2.1953361,2.8204468,3.2429363
2.0204759,2.9068494,3.2300204
1.8311417,2.9526322,3.2170527
1.6321897,2.9608457,3.3005142
1.4321253,2.9441413,3.5920240
1.2317573,2.9155056,3.8622693
1.0352284,2.8847877,4.1128420
0.8351712,2.8598532,4.1604374
0.6352866,2.8483667,3.9120491
0.4381440,2.8557783,3.7252600
0.2394601,2.8883458,3.5856150
0.0523448,2.9488592,3.5047522
-0.1248988,3.0426926,3.4667949
-0.2786765,3.1667674,3.4529874
-0.4062552,3.3184264,3.4391246
-0.5103265,3.4894633,3.5932178
-0.5933997,3.6652070,3.8536617
-0.6704108,3.8561366,4.1048247
-0.7395283,4.0355590,4.3396365
-0.8161007,4.2230965,4.5606376
-0.9026732,4.4089717,4.3920259
-0.9998642,4.5859740,4.1427967
-1.1094643,4.7514034,3.9768643
-1.2434314,4.9112439,3.8053905
-1.3881217,5.0458378,3.6229097
-1.5510755,5.1619905,3.4665427
-1.7283430,5.2501406,3.4527363
-1.9184244,5.3020032,3.4388744
-2.1128324,5.3214361,3.5158983
